delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.05;0.1;336;1443;62;11;-1.0;{Add penalty+complete=0.9137931034482759, Payment+complete=0.017241379310344827, Insert Date Appeal to Prefecture+complete=0.017241379310344827, Receive Result Appeal from Prefecture=0.017241379310344827, Send Appeal to Prefecture+complete=0.017241379310344827, Receive Result Appeal from Prefecture+complete=0.017241379310344827};NONALIGNING_ALL;{}
0.01;0.99;0.05;0.1;344;1596;57;15;-1.0;{Add penalty+complete=0.7432432432432432, Appeal to Judge=0.06756756756756757, Send Appeal to Prefecture+complete=0.05405405405405406, Payment+complete=0.04054054054054054, Insert Date Appeal to Prefecture+complete=0.04054054054054054, Insert Fine Notification+complete=0.02702702702702703, Send Appeal to Prefecture=0.013513513513513514, Receive Result Appeal from Prefecture+complete=0.013513513513513514};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;234;866;45;6;-1.0;{Add penalty+complete=0.9032258064516129, Insert Date Appeal to Prefecture+complete=0.06451612903225806, Payment+complete=0.03225806451612903};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;202;1234;57;15;-1.0;{Add penalty+complete=0.7872340425531915, Appeal to Judge=0.0851063829787234, Insert Fine Notification+complete=0.06382978723404255, Payment+complete=0.0425531914893617, Notify Result Appeal to Offender+complete=0.02127659574468085};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;304;962;46;7;-1.0;{Add penalty+complete=0.7857142857142857, Payment+complete=0.09523809523809523, Insert Fine Notification+complete=0.047619047619047616, Send Appeal to Prefecture+complete=0.047619047619047616, Insert Date Appeal to Prefecture+complete=0.023809523809523808};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;209;844;63;7;-1.0;{Add penalty+complete=0.8431372549019608, Send Appeal to Prefecture+complete=0.058823529411764705, Payment+complete=0.0392156862745098, Insert Fine Notification+complete=0.0392156862745098, Insert Date Appeal to Prefecture+complete=0.0196078431372549};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;102;820;58;4;-1.0;{Add penalty+complete=0.9393939393939394, Payment+complete=0.030303030303030304, Insert Fine Notification+complete=0.030303030303030304};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;236;817;43;5;-1.0;{Add penalty+complete=0.75, Payment+complete=0.2, Notify Result Appeal to Offender+complete=0.025, Receive Result Appeal from Prefecture+complete=0.025};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;237;1366;60;7;-1.0;{Add penalty+complete=0.723404255319149, Payment+complete=0.06382978723404255, Send Appeal to Prefecture+complete=0.06382978723404255, Insert Date Appeal to Prefecture+complete=0.0425531914893617, Insert Fine Notification+complete=0.0425531914893617, Receive Result Appeal from Prefecture=0.02127659574468085, Notify Result Appeal to Offender+complete=0.02127659574468085, Receive Result Appeal from Prefecture+complete=0.02127659574468085};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;241;1208;60;10;-1.0;{Add penalty+complete=0.825, Insert Fine Notification+complete=0.075, Send Appeal to Prefecture=0.05, Payment+complete=0.025, Appeal to Judge=0.025};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;228;743;48;9;-1.0;{Add penalty+complete=0.8484848484848485, Payment+complete=0.06060606060606061, Insert Date Appeal to Prefecture+complete=0.030303030303030304, Send Appeal to Prefecture+complete=0.030303030303030304, Receive Result Appeal from Prefecture+complete=0.030303030303030304};NONALIGNING_ALL;{}
0.01;0.99;0.1;0.1;307;1096;54;13;-1.0;{Add penalty+complete=0.6857142857142857, Send Appeal to Prefecture+complete=0.11428571428571428, Payment+complete=0.08571428571428572, Insert Fine Notification+complete=0.05714285714285714, Insert Date Appeal to Prefecture+complete=0.02857142857142857, Appeal to Judge=0.02857142857142857};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;10;127;22;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;11;127;26;5;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;352;401;32;2;-1.0;{Add penalty+complete=0.7222222222222222, Insert Fine Notification+complete=0.16666666666666666, Payment+complete=0.1111111111111111};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;286;338;35;1;-1.0;{Add penalty+complete=0.9285714285714286, Payment+complete=0.07142857142857142};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;12;127;31;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;148;279;36;3;-1.0;{Add penalty+complete=0.75, Insert Fine Notification+complete=0.125, Notify Result Appeal to Offender+complete=0.0625, Receive Result Appeal from Prefecture+complete=0.0625};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;11;127;30;3;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;52;127;28;5;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;16;127;34;4;-1.0;{};NONALIGNING_ALL;{}
0.05;0.99;0.1;0.1;282;372;32;4;-1.0;{Add penalty+complete=0.75, Send Appeal to Prefecture+complete=0.125, Insert Date Appeal to Prefecture+complete=0.0625, Insert Fine Notification+complete=0.0625};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;7;60;17;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;7;60;18;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;52;60;19;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;8;60;24;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;10;60;25;0;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;8;60;20;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;9;60;23;2;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;57;60;24;3;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;9;60;22;1;-1.0;{};NONALIGNING_ALL;{}
0.1;0.99;0.1;0.1;8;60;19;0;-1.0;{};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;274;923;41;6;-1.0;{Add penalty+complete=0.8666666666666667, Insert Date Appeal to Prefecture+complete=0.06666666666666667, Payment+complete=0.03333333333333333, Appeal to Judge=0.03333333333333333};NONALIGNING_ALL;{}
0.01;0.95;0.1;0.1;20;381;34;5;-1.0;{};NONALIGNING_ALL;{}
